,CSI300_Returns
2021-03-09 15:00:00,-0.021461549615330644
2021-03-10 15:00:00,0.006560592222159656
2021-03-11 15:00:00,0.02490270978439768
2021-03-12 15:00:00,0.0035417777676896023
2021-03-15 15:00:00,-0.02153640620221764
2021-03-16 15:00:00,0.008701800466805576
2021-03-17 15:00:00,0.004231968169863265
2021-03-18 15:00:00,0.00802021918625817
2021-03-19 15:00:00,-0.02619281876987034
2021-03-22 15:00:00,0.009998081320955476
2021-03-23 15:00:00,-0.00947294050089853
2021-03-24 15:00:00,-0.016082380783103423
2021-03-25 15:00:00,-0.0004744470092258313
2021-03-26 15:00:00,0.022662431669194794
2021-03-29 15:00:00,0.0017640765814159742
2021-03-30 15:00:00,0.009481466886464451
2021-03-31 15:00:00,-0.00910124936770429
2021-04-01 15:00:00,0.012363637170378805
2021-04-02 15:00:00,0.009935886849920639
2021-04-06 15:00:00,-0.004110213335050017
2021-04-07 15:00:00,-0.007119954552438523
2021-04-08 15:00:00,0.0016587434617589825
2021-04-09 15:00:00,-0.015036788600527706
2021-04-12 15:00:00,-0.01739535865064379
2021-04-13 15:00:00,-0.001637533568569105
2021-04-14 15:00:00,0.008296974773768229
2021-04-15 15:00:00,-0.006355383424648142
2021-04-16 15:00:00,0.003476882208779175
2021-04-19 15:00:00,0.024331653954383636
2021-04-20 15:00:00,-0.0007177291443816181
2021-04-21 15:00:00,0.0030254563246623345
2021-04-22 15:00:00,-0.0018634782061758282
2021-04-23 15:00:00,0.009079915315508336
2021-04-26 15:00:00,-0.011336136357502635
2021-04-27 15:00:00,0.0026160487439903513
2021-04-28 15:00:00,0.00564237107823673
2021-04-29 15:00:00,0.008776123324974128
2021-04-30 15:00:00,-0.007877394876992128
2021-05-06 15:00:00,-0.012172291186728357
2021-05-07 15:00:00,-0.012857162728503457
2021-05-10 15:00:00,-0.0007267137114067568
2021-05-11 15:00:00,0.006136800935498066
2021-05-12 15:00:00,0.004277990336367665
2021-05-13 15:00:00,-0.010223770093499618
2021-05-14 15:00:00,0.023556362342618486
2021-05-17 15:00:00,0.014557066511751815
2021-05-18 15:00:00,0.0005045337351294865
2021-05-19 15:00:00,-0.00295498807897987
2021-05-20 15:00:00,0.002733808276131011
2021-05-21 15:00:00,-0.010077043628620386
2021-05-24 15:00:00,0.0041758045828166335
2021-05-25 15:00:00,0.03159494432011889
2021-05-26 15:00:00,0.0003976137534085211
2021-05-27 15:00:00,0.0033154576932754587
2021-05-28 15:00:00,-0.0032116058480700094
2021-05-31 15:00:00,0.0019697097319522072
2021-06-01 15:00:00,0.0018962896029717236
2021-06-02 15:00:00,-0.009679764032280547
2021-06-03 15:00:00,-0.006557329511058474
2021-06-04 15:00:00,0.005136105355265652
2021-06-07 15:00:00,-0.0008803210857621924
2021-06-08 15:00:00,-0.008623307243514677
2021-06-09 15:00:00,0.0008281161170626827
2021-06-10 15:00:00,0.006687126713897484
2021-06-11 15:00:00,-0.008870985625801353
2021-06-15 15:00:00,-0.011128536875684714
2021-06-16 15:00:00,-0.016658822310714805
2021-06-17 15:00:00,0.004212486631951284
2021-06-18 15:00:00,0.00011237006880038258
2021-06-21 15:00:00,-0.002367541637761428
2021-06-22 15:00:00,0.0062417474323259725
2021-06-23 15:00:00,0.004926731764615555
2021-06-24 15:00:00,0.0016668629472258445
2021-06-25 15:00:00,0.0162907344486507
2021-06-28 15:00:00,0.0022503952504753233
2021-06-29 15:00:00,-0.011656262917097315
2021-06-30 15:00:00,0.00645336919854933
2021-07-01 15:00:00,0.001076408090977754
2021-07-02 15:00:00,-0.028404691834707174
2021-07-05 15:00:00,0.0009201126083060451
2021-07-06 15:00:00,-0.0005285508704603314
2021-07-07 15:00:00,0.011289479147614578
2021-07-08 15:00:00,-0.010161152150109265
2021-07-09 15:00:00,-0.003698811101625621
2021-07-12 15:00:00,0.012481210681401178
2021-07-13 15:00:00,0.0018295018022451703
2021-07-14 15:00:00,-0.01147667496334337
2021-07-15 15:00:00,0.013452008247983427
2021-07-16 15:00:00,-0.011004622260093577
2021-07-19 15:00:00,0.0036747076076621976
2021-07-20 15:00:00,-0.0008801026382251331
2021-07-21 15:00:00,0.006860195826023707
2021-07-22 15:00:00,0.0014986072821943086
2021-07-23 15:00:00,-0.012136357425766464
2021-07-26 15:00:00,-0.03221101384292413
2021-07-27 15:00:00,-0.03532496199723101
2021-07-28 15:00:00,0.001929908637886113
2021-07-29 15:00:00,0.018861953197770287
2021-07-30 15:00:00,-0.008062450732170823
2021-08-02 15:00:00,0.025475406759208896
2021-08-03 15:00:00,0.00014640021273937265
2021-08-04 15:00:00,0.008995840536335953
2021-08-05 15:00:00,-0.006061161257808201
2021-08-06 15:00:00,-0.005477350147978122
2021-08-09 15:00:00,0.013003588066210048
2021-08-10 15:00:00,0.011550411350758738
2021-08-11 15:00:00,-0.00551389727210061
2021-08-12 15:00:00,-0.008372252923360746
2021-08-13 15:00:00,-0.0055029296243706005
2021-08-16 15:00:00,-0.0009937963999026023
2021-08-17 15:00:00,-0.0209801217858262
2021-08-18 15:00:00,0.011749071826426594
2021-08-19 15:00:00,-0.006558528084778303
2021-08-20 15:00:00,-0.019100974357090683
2021-08-23 15:00:00,0.013966588330393215
2021-08-24 15:00:00,0.01085883428577672
2021-08-25 15:00:00,0.001997999259551797
2021-08-26 15:00:00,-0.019711045615277367
2021-08-27 15:00:00,0.005296953142419181
2021-08-30 15:00:00,-0.0028532994514468557
2021-08-31 15:00:00,-0.0015915166866901087
2021-09-01 15:00:00,0.013286305240880925
